cpu_time,cpu_usage,h:m:s,io_in,io_out,jobid,max_pss,max_rss,max_uss,max_vms,mean_load,rule_name,s,threads,genome,library,maxlength,nrows,operation,status
79.03000000000002,7595.24219610691,0:01:38,565.4673824310303,0.0008182525634765,0,16815.6689453125,16924.97265625,16812.21875,22440.19140625,77.0444281035521,binary_r,98.5826,1,proteome,genomicranges,1000,10_000_000,nearest,fail
7.9,480.4344140291214,0:00:05,64.29552364349365,0.0008182525634765,0,756.8125,764.765625,752.7109375,4503.06640625,87.03822770175812,binary_r,5.5198,1,hg38,genomicranges,10,10_000,intersection,ok
8.44,532.0475741624832,0:00:06,69.30308055877686,0.0008182525634765,0,824.2724609375,832.86328125,819.58984375,4571.6875,85.53168040714192,binary_r,6.2205,1,hg38,genomicranges,10,100_000,intersection,ok
10.63,754.3882371425628,0:00:08,110.20881843566896,0.0008182525634765,0,936.8125,946.66796875,932.1796875,4684.2734375,90.58998734885796,binary_r,8.3275,1,hg38,genomicranges,10,1_000_000,intersection,ok
18.96,1591.0876223802566,0:00:30,359.808388710022,0.0008182525634765,0,1451.7109375,1459.66796875,1447.71875,5236.33984375,52.22612586382481,binary_r,30.4654,1,hg38,genomicranges,10,10_000_000,intersection,ok
7.87,477.0437522411346,0:00:05,64.29161739349365,0.0008182525634765,0,753.4169921875,761.67578125,749.3046875,4499.828125,86.46071129979038,binary_r,5.5175,1,hg38,genomicranges,100,10_000,intersection,ok
8.44,535.8256573438645,0:00:06,69.29459571838379,0.0008182525634765,0,824.0068359375,832.74609375,819.1328125,4571.38671875,84.77780508498809,binary_r,6.3204,1,hg38,genomicranges,100,100_000,intersection,ok
10.62,756.3986569166184,0:00:08,110.2145013809204,0.0008182525634765,0,945.634765625,953.65625,941.63671875,4694.00390625,93.10824348146517,binary_r,8.1239,1,hg38,genomicranges,100,1_000_000,intersection,ok
18.99,1591.8807038307189,0:00:34,303.6963691711426,0.0008182525634765,0,1453.134765625,1482.70703125,1434.359375,5218.1484375,45.773180960166215,binary_r,34.7776,1,hg38,genomicranges,100,10_000_000,intersection,ok
7.85,483.05378620624543,0:00:05,62.51773834228516,0.0008182525634765,0,717.154296875,726.75390625,712.54296875,4464.375,82.98398581361826,binary_r,5.821,1,hg38,genomicranges,1000,10_000,intersection,ok
